"","survey_id","choice_indicator","obs_id","label","choice_set","pension","gender_equality","living_wage","salary_equality","labor_rights","environmental_impact","faith_morality","firearms","price"
"1",216639557,1,1,1,1,60000,"gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","firearms restrictions",-60000
"2",216639557,0,1,2,1,40000,"no gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-40000
"3",216639557,0,2,1,2,65000,"gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-65000
"4",216639557,1,2,2,2,55000,"gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-55000
"5",216639557,1,3,1,3,50000,"no gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","faith/morality restrictions","firearms restrictions",-50000
"6",216639557,0,3,2,3,45000,"gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","no faith/morality restrictions","no firearms restrictions",-45000
"7",216639557,0,4,1,4,55000,"no gender restrictions","living wage restrictions","no salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-55000
"8",216639557,1,4,2,4,60000,"gender restrictions","no living wage restrictions","salary equality restrictions","no labor rights restrictions","environmental restrictions","faith/morality restrictions","no firearms restrictions",-60000
"9",216639557,0,5,1,5,70000,"gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-70000
"10",216639557,1,5,2,5,60000,"no gender restrictions","no living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","no faith/morality restrictions","firearms restrictions",-60000
"11",216639557,0,6,1,6,70000,"gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-70000
"12",216639557,1,6,2,6,45000,"no gender restrictions","no living wage restrictions","no salary equality restrictions","no labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-45000
"13",216639557,1,7,1,7,50000,"no gender restrictions","living wage restrictions","no salary equality restrictions","no labor rights restrictions","environmental restrictions","no faith/morality restrictions","firearms restrictions",-50000
"14",216639557,0,7,2,7,65000,"no gender restrictions","living wage restrictions","salary equality restrictions","labor rights restrictions","no environmental restrictions","faith/morality restrictions","no firearms restrictions",-65000
