wtp_child_labor,wtp_firearms,wtp_fossil_fuels,wtp_racial_diversity_mgmt,wtp_gender_pay_gap
252.67405559839833,1417.1816976120926,2344.4862042783802,962.7883567973879,-2696.030868257214
-28654.253967932273,-36754.720224531025,3741.7866112832317,-8963.381145314595,-29467.71534358046
-121262.82078646014,-25230.475528394843,-8975.637692714565,-10974.885151479673,-16469.90892252404
-8557.776913880212,-3964.6996370411475,-561.8401541111986,-117.75614280490792,-2841.3266142722036
-107178.94850724464,1099.2233919321911,-5142.181903063684,-718.1509646051965,-14862.38646596025
437629.1002953809,378315.16864420974,131468.89925830974,185643.2359226172,324271.62588922435
-18050.06579074885,-51973.8632869785,-9667.367064584183,-8612.381700564341,-14200.023353503364
-48337.02330244096,7069.833140138406,5209.036181322161,-2755.390215265025,-2972.9482022068164
-2472.8746494559346,-15933.52130463906,-7047.67883506496,-647.5154284011995,-3682.543931120925
-8335.211695093949,-2007.6911342515898,-4326.656865663153,452.60605222490057,-1490.8385929915316
-3799.491050947338,-5348.72369835835,-2272.103137028672,-4827.173962263152,-3712.929525189367
-29835.058659392096,-7770.328350936735,-604.653283831988,-2415.273182907334,-11936.320628429297
-37871.85214471807,-3983.834355298674,-16292.759026072226,-29968.978460523016,-25783.818768937937
-24812.60230100666,2943.6793811044945,-2219.895228974984,-864.7319479227727,-14845.077357542905
7755.590561439652,9845.377753336788,1655.8840558478323,-19902.413467376726,-16648.419556128185
-10867.5733291465,-19433.583582976833,-12226.21072171777,-1670.4232609194476,-5211.96981999792
79662.44904598055,596441.9143615008,203247.36284628185,61277.011815855534,175250.8248707157
-135710.75079605,41602.22168059989,40328.87033774789,-51461.35163339015,-41640.45414413068
-8655.963001251812,-5404.259321323299,-7532.355303550243,-7265.969952705635,-6830.920703599587
-5496.055652727154,63596.11370331334,-2489.775342898708,749.4141163928387,14.18265767371284
-50422.742170134195,3975.4934013021666,-1411.2584590113636,-22384.255134365627,-24468.854057869095
